prompt,model_answer,is_hallucination
Когда родилась Фрейя Мэйделин Старк?,"Фрейя Мэйделин Старк, миссис Пероун (English: Freya Madeline Stark, Mrs Perowne; 31 января 1893, Париж, Франция — 9 мая 1993, Азоло, Италия), — британский писатель, путешественник, альпинист, археолог. Известна прежде всего как автор книг о Ближнем Востоке, Африке и Азии. Дама-командор ордена Британской империи, сестра-командор ордена Святого Иоанна Иерусалимского.",False
Когда родилась Фрейя Мэйделин Старк?,"В 1934 году художник написал портрет сидящей в кресле Старк (102 × 85; холст, масло), который находится в коллекции Королевского азиатского общества Великобритании и Ирландии[119][120].",True
Есть ли нефть в Удмуртии?,"Нефтепоисковые работы в Удмуртии были начаты сразу после Второй мировой войны в 1945 году и продолжаются по сей день. Добыча нефти началась в 1967 году. Нефтяные проявления различной интенсивности встречаются почти по всем стратиграфических подразделениях палеозойского осадочного чехла. На сегодня уже выявлено 86 месторождений нефти в Удмуртии, большая часть запасов которых уже перешла в стадию разработки. Промышленные залежи нефти обнаружены в основном в девонских и каменноугольных отложениях и относятся к пликативных, антиклинальных, брахиантиклинальных складок, рифогенных массивов. Обнаруженные месторождения нефти распространены практически по всей территории Удмуртии, за исключением северо-запада (Юкаменский, Ярский, Селтинский, Сюмсинский, Вавожский районы) и Алнашского района. Наибольшая концентрация месторождений обнаружена в северных и юго-восточных бортовых зонах Камско-Кинельской системы прогибов. Здесь же были открыты и крупнейшие месторождении нефти в республике: Чутырско-Кионгопское (Игринский, Шарканский и Якшур-Бодьинский районы), Мишкинское (Воткинский, Шарканский районы), Вятское, Ельниковское (Сарапульский район), Гремихинское (Воткинск, Завьяловский районы), из которых добывается нефть промышленных категорий от 46 до 148 миллионов тонн в год. Перспективными месторождениями являются Быгинское (Шарканский район) и Михайловское (Игринский район).",False
Есть ли нефть в Удмуртии?,"Добычей нефти в республике занимается ОАО «Удмуртнефть», на балансе которого 32 нефтяных месторождений, из которых 25 — в промышленной разработке. Более 60 % удмуртской нефти относится к категории труднодобываемых. Она отличается неоднородностью нефтенасыщенных пластов, глубиной их залегания, физико-химическими свойствами. Содержание серы в такой нефти составляет от 1,5 до 3,9 %, парафина 2,8-6,6 %, толщина пластов от 1,2 до 17 м. Тем не менее добывается до 40 % добытой нефти.",True
"Кто снялся в роли Скарлетт в ""Унесенных ветром""?","Вивьен Ли[1] (English: Vivien Leigh; урождённая Вивиан Мэри Хартли English: Vivian Mary Hartley; с 1947 года леди Оливье[2]; 5 ноября 1913 — 8 июля 1967) — британская актриса. Обладательница двух премий «Оскар» — за роль Скарлетт О’Хары в фильме «Унесённые ветром» (1939) и в фильме «Трамвай „Желание“» (1951)[3]. Роль Бланш Дюбуа она также играла на сцене, в лондонском театре «Вест-Энд», в 1949 году[4]. Актриса часто работала в сотрудничестве со своим мужем, Лоренсом Оливье, который был режиссёром нескольких фильмов с её участием. На протяжении своей тридцатилетней карьеры она играла разнообразные роли: от героинь комедий Ноэла Коуарда и Джорджа Бернарда Шоу, до классических шекспировских характеров, таких, как Офелия, Клеопатра, Джульетта и . В 1960 году была удостоена именной звезды на Голливудской «Аллее славы»[5].",False
"Кто снялся в роли Скарлетт в ""Унесенных ветром""?","Пейн сыграл заметные роли также в фильмах нуар «Преступный путь» (1949) и «Оттенок алого» (1956), а также в драме по роману Сомерсета Моэма «На краю лезвия» (1946). Эвелин Кейс более всего известна тем, что сыграла роль сестры Скарлетт О’Хара в фильме «Унесённые ветром» (1939) и была партнёршей Мэрилин Монро в фильме «Семилетний зуд» (1955).",True
Сколько человек пострадали во время терракта в Беслане?,"Хотя большинство заложников были освобождены в ходе штурма, в результате теракта погибли 314 человек из числа заложников, из них 186 детей. Всего, включая спасателей, погибло 333 человека, и свыше 800 получили ранения разной степени тяжести (см. подробнее).",False
Сколько человек пострадали во время терракта в Беслане?,"В январе 2005 в рамках гуманитарной акции Союза театральных деятелей РФ детский спектакль «Тайна тетушки Мэлкин» Алана Александра Милна Московского театра Et Cetera (постановка 2000 года) был показан детям, пострадавшим во время теракта в Беслане.",True
"Кто сыграл близнецов Уолш в «Беверли-Хиллз, 90210»?","В первых сезонах в центре внимания оказываются близнецы Брендон (Джейсон Пристли) и Бренда (Шеннен Доэрти) Уолш, испытывавшие «культурный шок» после переезда из Миннеаполиса в яркий Лос-Анджелес[2][3]. Кроме типичных подростковых проблем, связанных с вопросами дружбы и любви, сериал также затрагивал такие важные социальные проблемы, как изнасилования, алкоголизм, домашнее насилие, антисемитизм, наркозависимость, булимия, СПИД, аборты, подростковый суицид, подростковая беременность, воспитание ребёнка в однополой семье, права геев и др.[4][5]",False
"Кто сыграл близнецов Уолш в «Беверли-Хиллз, 90210»?","Эмили Валентайн в исполнении ""Кристин Элис""
Эмили — довольно опасная девушка. Она приезжает в Беверли-Хиллз и завоёвывает внимание сразу двух завидных парней школы — Брэндона и Дилана. На этой почве между ней и Брендой происходят разногласия. В итоге Эмили начинает встречаться с Брэндоном. Однако, когда компания по предложению Эмили отправляется в один подпольный ночной клуб, Брэндон понимает, что лучше будет прервать отношения — она подсыпает наркотик в его бокал. После этого Эмили пытается поджечь дом Уолшей. Правда, всё заканчивается хорошо: она ложится в психиатрическую клинику. Проходит немало времени, но Брэндон постоянно вспоминает об Эмили. Сбежав от проблем в колледже, Брэндон отправляется на её поиски и находит в Сан-Франциско. Они проводят вместе замечательный День благодарения, а затем Эмили уезжает из Штатов, чтобы продолжить учёбу за границей. Ещё несколько лет спустя Брэндон узнаёт, что Эмили приезжает в Беверли-Хиллз, и отправляется в аэропорт, чтобы её встретить. А в это время происходит роковой пожар, изменивший жизнь Келли. Хотя Брэндон прекрасно понимает, что всегда будет любить только Келли, ясно, что Эмили также занимает особое место в его сердце.",True
Сколько длилась блокада Ленинграда?,"Блокада Ленинграда — военная блокада города Ленинграда (ныне — Санкт-Петербург) немецкими, финскими[1] и испанскими (Голубая дивизия) войсками с участием добровольцев из Северной Африки, Европы и военно-морских сил Италии во время Великой Отечественной войны. Длилась с 8 сентября 1941 года по 27 января 1944 года (блокадное кольцо было прорвано 18 января 1943 года) — 872 дня[2].",False
Сколько длилась блокада Ленинграда?,"Медаль «За оборону Ленинграда» Пискарёвское мемориальное кладбище Государственный мемориальный музей обороны и блокады Ленинграда Монета России «Ленинград» с изображением полуторок, прорывающих блокаду через Ладожское озеро «В память тысяч погибших, жертв блокады и защитников города, сожжёных в печах стоявшего здесь кирпичного завода» Мемориальная доска на здании подстанции на Фонтанке, 3а, давшей напряжение возрождённому трамваю весной 1942 года Ивановский пятачок, часть Зелёного пояса Славы. Обелиск в городе Отрадное Ленинградской области След от немецкого артиллерийского снаряда на Аничковом мосту «…Здесь были печи завода-крематория; прах сотен тысяч воинов и жителей блокадного Ленинграда покоится в прудах, газонах, под Вашими ногами; Вечная им память!…»",True
Сколько линий метро в Нью-Йо́ркском метрополите́не?,"Особенностью Нью-Йоркского метрополитена является организация движения поездов по маршрутам, каждый из которых проходит по одной или нескольким линиям. На конец 2018 года число маршрутов составляет 27; большинство их делятся на экспресс-маршруты (останавливающиеся только на некоторых станциях) и локальные (со всеми остановками); для такого разделения маршрутов линия имеет 3 или 4 пути; кроме того имеется несколько коротких маршрутов-челноков и одна пара маршрутов, действующих по принципу «скип-стоп». Система работает круглосуточно (закрываются на ночь только две станции, каждая из которых входит в свой пересадочный узел), маршруты меняются в зависимости от дня недели и времени суток.",False
Сколько линий метро в Нью-Йо́ркском метрополите́не?,"О́мский метрополите́н — недостроенная система линий метрополитена в Омске (Россия). Строительство началось в 1992 году, планировалось пустить его сначала в 2008 году, затем в 2012, 2015 и 2016 годах (как подарок к 300-летию города), однако из-за проблем с финансированием и низкой транспортной эффективности пусковой ветки метро в феврале 2014 года правительство Омской области предложило соединить построенные подземные объекты с наземным рельсовым транспортом. Позже было объявлено, что строительство метрополитена продолжится. Новые сроки сдачи Омского метро в эксплуатацию не называются. 6 ноября 2014 года появилось сообщение о консервации строительства. 9 сентября 2015 года было объявлено о продолжении строительства — ввиду дороговизны консервации и поддержания в стабильном состоянии построенных объектов. Тем не менее, строительство не ведётся и денег на него не предусмотрено. В мае 2018 года правительство Омской области приняло решение заморозить строительство метро в Омске.",True
Сколько языков существует на земле по статистике за 2019 год?,На Земле насчитывается 7 097 языков.(По данным сайта www.ethnologue.com)[1],False
Сколько языков существует на земле по статистике за 2019 год?,"По состоянию на 2011 год число описанных видов живых организмов составляло примерно 1,7 млн (см. раздел «Статистика»). Общее число видов, существующих на Земле, оценивается по-разному: называется число 8,7 млн, в том числе цветковые растения — около 400 тысяч видов (сейчас описано примерно 300 тысяч); другие учёные считают, что одних лишь видов грибов на нашей планете существует более 5 миллионов видов (при том, что сейчас описано всего лишь около 100 тысяч). Число вымерших видов, по некоторым оценкам, составляет около 500 миллионов.",True
Сколько братьев и сестер было в семье Гоголя?,"Помимо Николая в семье было ещё одиннадцать детей. Всего было шесть мальчиков и шесть девочек. Первые два мальчика родились мёртвыми. Гоголь был третьим ребёнком. Четвёртым сыном был рано умерший Иван (1810—1819). Затем родилась дочь Мария (1811—1844). Все средние дети также умерли в младенчестве. Последними родились дочери Анна (1821—1893), Елизавета (в замужестве Быкова) (1823—1864) и Ольга (1825—1907).",False
Сколько братьев и сестер было в семье Гоголя?,"Штефани родилась в спортивной семье, её мать Анжела занималась конькобежным спортом а отец Детлеф был гандболистом. В семье, кроме Штефани, пять младших сестер и брат Патрик, который тоже является членом сборной Германии по конькобежному спорту.",True
Есть ли метров Казани?,"Каза́нский метрополите́н (Tatar:Казан метросы, Казан метрополитены) — рельсовый внеуличный (преимущественно подземный) городской общественный транспорт на электрической тяге, расположенный в Казани. Стал первым (и на данный момент — единственным) метрополитеном в России, построенным после распада СССР, седьмым (и на данный момент — последним) по счёту в России, третьим в Приволжском федеральном округе и пятнадцатым на территории бывшего СССР.",False
Есть ли метров Казани?,"Парусный корвет, один из четырёх корветов одноимённого типа. Длина судна по сведениям из различных источников составляла от 33,53 до 33,6 метра, ширина от 9,14 до 9,5 метра, а осадка от 3,18 до 3,8 метра. Вооружение судна состояло из 16/18 орудий. Второй из корветов данного типа, носивший название «Казань», первый был построен в 1807 году.",True
Сколько официальных языков в Респу́блике Се́рбской?,"Большинство населения Республики Сербской составляют сербы. Помимо них конституционными народами являются босняки и хорваты. Национальные меньшинства — евреи, чехи, украинцы, словаки и т. д. Официальными языками являются язык сербского народа, язык боснякского народа и язык хорватского народа. Официальные алфавиты — кириллица и латиница[18].",False
Сколько официальных языков в Респу́блике Се́рбской?,"Наро́дная и университе́тская библиоте́ка Респу́блики Се́рбской () — национальная библиотека Республики Сербской, расположенная в городе Баня-Лука, ул. Еврейская, д. 30. Входит в структуру Университета Баня-Луки. Штаб-квартира Ассоциации библиотекарей Республики Сербской.",True
Сколько длится обязательная военная служба в России?,"Срок службы по призыву в мирное время в Вооружённых силах Российской Федерации составляет 12 месяцев. Регулируется законодательством России, в частности, законом «О воинской обязанности и военной службе» и дополнениями[3] к нему. По признанию В. Путина, сделанному им в феврале 2012 года, отмена воинской обязанности не планируется[4].",False
Сколько длится обязательная военная служба в России?,"Хотя Новая Зеландия и имела систему обязательного призыва на военную службу, более известную как «», на войну во Вьетнам послали только «добровольно нанятых профессиональных солдат». Тем не менее, многие мужчины Новой Зеландии отказавшиеся идти на военную службу, потеряли своё право голосования и были уволены или переведены с государственных должностей. Правительство никогда не выступало за угрозы длительного тюремного заключения в связи с уклонением от военной службы. Национальная служба, в том числе призыв, отменена в декабре 1972 года.",True
Когда произошла Катастрофа L-188 под Баффало?,"Катастрофа L-188 под Баффало — авиационная катастрофа турбовинтового пассажирского самолёта Lockheed L-188A Electra американской авиакомпании Braniff Airways[* 1], произошедшая ночью во вторник 29 сентября 1959 года. Совершенно новый авиалайнер при хороших погодных условиях выполнял обычный пассажирский рейс из Хьюстона в Даллас (оба в штате Техас), когда у него неожиданно отделилось крыло. Потеряв управление, машина рухнула на землю в округе Леон близ города Баффало, а все находящиеся на борту 34 человека погибли.",False
Когда произошла Катастрофа L-188 под Баффало?,"Крейсерская скорость была дополнительно снижена до 225 узлов, а максимальная — до 245 узлов. Дело в том, что обе катастрофы, как предполагалось, произошли на скорости, близкой к 275 узлам, то есть было рекомендовано ещё больше снизить максимальные скорости. Также было рекомендовано внести доработку в конструкцию автопилота, чтобы он отключался, если шаг винтов устанавливался в нулевое или максимальное положение. Помимо этого, от операторов самолёта потребовали точно соблюдать установленные для данного типа самолётов руководства по выполнению заправки топливом. В течение 30 дней требовалось провести тщательную проверку по влиянию турбулентности на конструкцию самолёта, при этом акцентировать внимание на повреждения рёбер жёсткости и заклёпочных соединений. Также в указанный срок требовалось провести проверки рулей высоты и связанных с ними систем. Также требовалось проводить регулярные проверки топливных баков на предмет течи после испытаний повышенным давлением и проверки структур самолёта после различных инцидентов, связанных с сильной турбулентностью, жёсткими посадками и посадками с высоким весом. Главному отделу лётных стандартов (English: Chiefs, Flight Standards Divisions) было дано указание на протяжении 30 дней провести проверки по наблюдению и контролю самолётов L-188 по их полётной эксплуатации и тренировкам. Особенно инспекторы должны были акцентировать внимание на планировании полётов, предполётных подготовках, выборах скоростей полёта, руководствах по лётной эксплуатации, ненормальной работе оборудования, действиях после выполнения полёта, а также лётных тренировках.",True
"Как назывался ракетно-космический комплекс, созданный Валенти́ном Глушко́?","В носовой отсек «Бурана» вставлена герметичная цельносварная кабина для экипажа, для проведения работ на орбите (до 10 человек) и большей части аппаратуры, для обеспечения полёта в составе ракетно-космического комплекса, автономного полёта на орбите, спуска и посадки. Объём кабины составляет свыше 70 м3.",False
"Как назывался ракетно-космический комплекс, созданный Валенти́ном Глушко́?",3 ноября 2011 года в рамках 14-го заседания Подкомиссии по комплексу «Байконур» глава Казкосмоса Талгат Мусабаев и руководитель Роскосмоса Владимир Поповкин подписали тактико-техническое задание на опытно-конструкторскую работу по созданию на космодроме «Байконур» космического ракетного комплекса (КРК) «Байтерек» с экологически безопасной ракетой-носителем «Ангара».,True
Сколько лет Ленин был женат на Крупской?,"В 1896 году была арестована и после семимесячного заключения сослана в Уфимскую губернию, но отбывала ссылку в Сибири, в селе Шушенском, где 1898 года вступила в церковный брак с Ульяновым (Лениным).",False
Сколько лет Ленин был женат на Крупской?,"Помимо Ленина, многим объектам также присваивались имена его родственников. Одним из наиболее ярких примеров была его жена Надежда Крупская, имя которой присваивалось улицам, высшим учебным заведениям, школам, ей также воздвигались памятники. Имя Крупской в 1957—1991 годах носил Московский государственный областной университет, сейчас её имя также носит кондитерская фабрика. Сама Надежда Константиновна была похоронена у Кремлёвской стены.",True
Как назывался культ Никола́я Ви́кторовича Левашо́ва?,"Никола́й Ви́кторович Левашо́в (8 февраля 1961, Кисловодск — 11 июня 2012, Москва[1][2]) — российский писатель и публицист, автор националистического неоязыческого (родноверческого[3]) оккультного учения[4], действительный член четырёх общественных академий[5]. Именовал себя целителем[4]. В СМИ характеризуется как создатель тоталитарного культа «Возрождение. Золотой Век»[4][6]. Автор книги «Россия в кривых зеркалах», внесённой в Федеральный список экстремистских материалов за навязывание негативного мнения в отношении иудеев и косвенное возбуждение религиозной розни.",False
Как назывался культ Никола́я Ви́кторовича Левашо́ва?,"Никола́й Ви́кторович Ба́сков (фамилия при рождении — Баско́в; род. 15 октября 1976 года, Москва, РСФСР, СССР) — российский эстрадный и оперный певец.",True
Сколько веток в Минском метро?,"Список станций Минского метрополитена — системы линий метрополитена в Минске, Беларусь. Первая линия была открыта 30 июня 1984 года и состояла из восьми станций. В настоящее время метрополитен состоит из двух линий с 29 действующими станциями. Данный список станций выполнен с привязкой к линиям и разделен на действующие станции и находящиеся в процессе строительства.",False
Сколько веток в Минском метро?,"Кампус Инэнштадт находится в зоне пешеходной доступности от главного вокзала, а также городского кольца, окружающего центр города. Кроме того, добраться до него можно с помощью 1, 2, 3 и 6 веток метро и на автобусе.
Клиника Гросхдарен располагается на окраине Мюнхена. В 1993 году была открыта одноименная станция метро, являющаяся конечной на 6-й ветке метрополитена. Многочисленные маршруты городских и региональных автобусов также связывают клинику с другими частями города.",True
"Что означает слово ""антропология""?","Антрополо́гия (от Ancient Greek: ἄνθρωπος — человек; — наука) — совокупность научных дисциплин, занимающихся изучением человека, его происхождения, развития, существования в природной (естественной) и культурной (искусственной) средах[1][2]. Антропология исследует физические различия между людьми, исторически сложившиеся в ходе их развития в различных естественно-географических средах[3]. В Советском Союзе антропология понималась как наука о происхождении и эволюции человека и его рас, то есть, как физическая антропология[4].",False
"Что означает слово ""антропология""?","Последователь Сепира и Блумфилда, Хоккет является одним из наиболее известных представителей младшего поколения американских дескриптивистов, считавших основной задачей лингвистики выработку «точных» и «объективных» методов описания языков мира. Хоккет неизменно отстаивал единство лингвистики и антропологии, утверждая, что «лингвистика без антропологии бесплодна, а антропология без лингвистики слепа». Он также известен как один из наиболее едких и бескомпромиссных критиков генеративной парадигмы в лингвистике (a theory spawned by a generation of vipers, по его словам), не принявший подход Хомского и посвятивший критике его трансформационной теории целую книгу «The state of the art» (1968). Позднее, в интервью 1971 года он даже утверждал, что идеи генеративистов «по ценности сродни гороскопам», поскольку сторонники этой школы «отвергли научный подход к сознанию и поведению человека и впали в мистицизм».",True
Когда был Штурм Выборга?,"Вы́боргская наступа́тельная опера́ция (10 июня — 20 июня 1944 года) — наступательная операция советских войск правого крыла Ленинградского фронта, осуществлённая при содействии части сил Балтийского флота, Ладожской военной флотилии с целью разгрома финских войск на Карельском перешейке и восстановления там государственной границы с Финляндией. Часть стратегической Выборгско-Петрозаводской наступательной операции — одного из десяти сталинских ударов.",False
Когда был Штурм Выборга?,"Воинское кладбище устроено не было; храм полностью разобрали на строительный материал. Позднее, на территории православного кладбища на Ильинской горе были построены промышленные сооружения, а по склону горы был установлен монументальный транспарант «Пролетарии всех стран, соединяйтесь!».
1 февраля 1991 года в Выборге образовался благотворительный фонд ""Воссоздание церкви Илии Пророка"" во главе с искусствоведом, почетным гражданином города Выборга, участником Великой Отечественной Войны, штурма и взятия Берлина Евгением Евгеньевичем Кеппом. В декабре 1994 года началось строительство домика привратника, и, несколько позднее, начались работы по закладке фундамента храма и возведение стен колокольни. Восстановленная церковь была освящена в 1999 году, через 60 лет после последней литургии в здании храма.",True
Какие страны входили в Антанту?,"Анта́нта (French: entente «соглашение») — военно-политический блок России, Великобритании и Франции, создан в качестве противовеса «Тройственному союзу» (A-Entente — Германии, Австро-Венгрии и Италии); сложился в основном в 1904—1907 годах и завершил размежевание великих держав накануне Первой мировой войны. Термин возник в 1904 году первоначально для обозначения англо-французского союза, причём употреблялось выражение l’Entente cordiale («сердечное согласие») в память кратковременного англо-французского союза в 1840-х годах, носившего то же название.",False
Какие страны входили в Антанту?,"В шведской литературе, посвящённой истории Швеции начала XX века, Яльмара Хаммаршёльда обычно представляют как промонархического антидемократического политика. Критике подвергалась и политика Хаммаршёльда по отношению к Германии во время Первой мировой войны: несмотря на недовольство стран Антанты, Швеция продолжала поддерживать торговые отношения со всеми странами, участвовавшими в войне, в том числе и с Германией. Хаммаршёльд считал, что со стратегической точки зрения он прав и стремление придерживаться линии строгого нейтралитета должно обеспечить стране после окончания войны прочное международное положение. К весне 1917 года негативное отношение к его политике как в шведском обществе в целом, так и среди членов его правительства стало настолько сильным, что Хаммаршёльд был вынужден уйти в отставку. Как позже писал его сын, Даг Хаммаршёльд, «единственной надёжной опорой отца осталась его верность собственным убеждениям. Советы других, какими бы доброжелательными и ценными они ни были, не могли освободить его от ответственности».",True
Сколько жен было у Владимира Высоцкого?,"В творческом наследии Высоцкого есть песня, содержащая строки: «Как всё <это>, как всё это было / И в кулисах, и у вокзала! / Ты, как будто бы банное мыло, / Устранялась и ускользала» (1970—1971). Она обращена к актрисе Театра на Таганке Татьяне Иваненко, роман с которой начался у Владимира Семёновича, вероятно, в 1966 году и продолжался в течение нескольких лет. Друг Высоцкого, переводчик Давид Карапетян, писал в книге «Владимир Высоцкий. Между словом и славой», что его знакомство с поэтом произошло благодаря Татьяне[31]. По свидетельству Карапетяна, «была она хороша собой необычайно»; при этом Татьяну отличали уверенность и холодноватая целеустремлённость. Возможно, её «прямолинейная правильность» была связана с тем, что Иваненко выросла в семье военнослужащего. В театре и кинематографическом мире знали об отношениях Татьяны и Высоцкого — на определённом жизненном отрезке они практически не разлучались. Иваненко часто ездила с Владимиром Семёновичем в киноэкспедиции, в основном в Одессу и Ленинград; Высоцкий был знако́м с её родителями[26][31][3][32][33]. Как утверждал Карапетян, знакомство Высоцкого с Мариной Влади поначалу не беспокоило Татьяну, и она долго не видела во французской актрисе «серьёзной соперницы»[31]. Через несколько лет после расставания с поэтом, в 1977 году, Иваненко, встретив в Париже третью жену Высоцкого, призналась: «Знаете, я очень люблю вашего мужа». Влади ответила, что тоже очень любит своего мужа[26]. 26 сентября 1972 года Татьяна родила дочь Анастасию; в её свидетельстве о рождении указана фамилия Иваненко[3]. Театральные коллеги Высоцкого и Татьяны не сомневались, что Настя — дочь Владимира Семёновича; по словам Бориса Хмельницкого, девочка «действительно очень похожа на Володю»[26]. Друг Высоцкого — актёр Георгий Епифанцев — через несколько лет после смерти поэта сказал: «Таня Иваненко свято хранит память о Володе… Замкнута, никому ничего не рассказывает. Её позиция — мне ничего не надо!»[26] Сценарист Артур Макаров, ставший после смерти Высоцкого доверенным лицом Влади и занимавшийся её наследственными делами, утверждал, что в первой половине 1990-х годов Марина встречалась с Татьяной и Настей: «Тем самым она [Влади] как бы признала отцовство Высоцкого»[26]. По данным Игоря Кохановского, Татьяне Иваненко посвящена написанная Высоцким в 1970 или 1971 году «Песня о двух красивых автомобилях»[31].",False
